signal_id,security_code,security_name,direction,weight,directness,rationale,in_final20
copper,000878,云南铜业,1,0.75,A,铜价影响矿山/冶炼收入，仍需看自产矿比例、TC/RC和套保。,0
aluminum,601600,中国铝业,1,0.8,A,铝价利好电解铝，但要同时看氧化铝和电力成本。,0
aluminum,000807,云铝股份,1,0.9,A,铝价利好电解铝，但要同时看氧化铝和电力成本。,0
aluminum,000933,神火股份,1,0.9,A,铝价利好电解铝，但要同时看氧化铝和电力成本。,0
aluminum,000612,焦作万方,1,1.0,A,铝价利好电解铝，但要同时看氧化铝和电力成本。,1
aluminum,600219,南山铝业,1,0.55,B,铝价利好电解铝，但要同时看氧化铝和电力成本。,0
gold,600547,山东黄金,1,1.0,A,黄金价格直接影响黄金矿山收入和资源估值。,0
gold,600489,中金黄金,1,0.9,A,黄金价格直接影响黄金矿山收入和资源估值。,0
gold,600988,赤峰黄金,1,0.9,A,黄金价格直接影响黄金矿山收入和资源估值。,0
gold,002155,湖南黄金,1,0.65,A,黄金价格直接影响黄金矿山收入和资源估值。,0
gold,601899,紫金矿业,1,0.55,A,黄金价格直接影响黄金矿山收入和资源估值。,0
silver,000603,盛达资源,1,1.0,A,白银价格影响银资源或副产品价值。,0
silver,000426,兴业银锡,1,0.95,A,白银价格影响银资源或副产品价值。,0
silver,600531,豫光金铅,1,0.65,A,白银价格影响银资源或副产品价值。,0
silver,000833,粤桂股份,1,0.45,B,白银价格影响银资源或副产品价值。,1
corn,002311,海大集团,-1,0.75,A,国际谷物上涨可能推高饲料成本。,0
corn,002714,牧原股份,-1,0.45,B,国际谷物上涨可能推高饲料成本。,0
corn,300498,温氏股份,-1,0.45,B,国际谷物上涨可能推高饲料成本。,0
corn,000876,新希望,-1,0.65,A,国际谷物上涨可能推高饲料成本。,0
corn,601952,苏垦农发,1,0.35,C,国际粮价上行是景气映射，但国内定价和政策削弱相关性。,0
corn,600598,北大荒,1,0.3,C,国际粮价上行是景气映射，但国内定价和政策削弱相关性。,0
soybeans,002311,海大集团,-1,0.75,A,国际谷物上涨可能推高饲料成本。,0
soybeans,002714,牧原股份,-1,0.45,B,国际谷物上涨可能推高饲料成本。,0
soybeans,300498,温氏股份,-1,0.45,B,国际谷物上涨可能推高饲料成本。,0
soybeans,000876,新希望,-1,0.65,A,国际谷物上涨可能推高饲料成本。,0
soybeans,601952,苏垦农发,1,0.35,C,国际粮价上行是景气映射，但国内定价和政策削弱相关性。,0
soybeans,600598,北大荒,1,0.3,C,国际粮价上行是景气映射，但国内定价和政策削弱相关性。,0
wheat,002311,海大集团,-1,0.75,A,国际谷物上涨可能推高饲料成本。,0
wheat,002714,牧原股份,-1,0.45,B,国际谷物上涨可能推高饲料成本。,0
wheat,300498,温氏股份,-1,0.45,B,国际谷物上涨可能推高饲料成本。,0
wheat,000876,新希望,-1,0.65,A,国际谷物上涨可能推高饲料成本。,0
wheat,601952,苏垦农发,1,0.35,C,国际粮价上行是景气映射，但国内定价和政策削弱相关性。,0
wheat,600598,北大荒,1,0.3,C,国际粮价上行是景气映射，但国内定价和政策削弱相关性。,0
sugar,600737,中粮糖业,1,0.9,A,原糖上涨改善糖价预期，需结合国内配额和产量。,0
sugar,000911,广农糖业,1,1.0,A,原糖上涨改善糖价预期，需结合国内配额和产量。,0
sugar,000833,粤桂股份,1,0.45,B,原糖上涨改善糖价预期，需结合国内配额和产量。,1
cotton,600359,新农开发,1,0.75,B,国际棉价对棉花种植和加工形成景气映射。,0
cotton,600540,新赛股份,1,0.75,B,国际棉价对棉花种植和加工形成景气映射。,0
cotton,600251,冠农股份,1,0.45,B,国际棉价对棉花种植和加工形成景气映射。,0
cotton,000726,鲁泰A,-1,0.5,B,棉价上涨推高纺织原料成本，库存收益和提价能力可能抵消。,0
cotton,601339,百隆东方,-1,0.6,B,棉价上涨推高纺织原料成本，库存收益和提价能力可能抵消。,0
cotton,002042,华孚时尚,-1,0.6,B,棉价上涨推高纺织原料成本，库存收益和提价能力可能抵消。,0
soybeans,600872,中炬高新,-1,0.45,B,大豆和豆粕上涨可能推高酱油原料成本。,1
usda_wasde,002311,海大集团,-1,0.55,B,WASDE月度重估全球粮食、油籽、糖和棉花供需。,0
usda_wasde,000876,新希望,-1,0.5,B,WASDE月度重估全球粮食、油籽、糖和棉花供需。,0
usda_wasde,601952,苏垦农发,1,0.35,B,WASDE月度重估全球粮食、油籽、糖和棉花供需。,0
usda_wasde,600737,中粮糖业,1,0.35,B,WASDE月度重估全球粮食、油籽、糖和棉花供需。,0
usda_wasde,000911,广农糖业,1,0.35,B,WASDE月度重估全球粮食、油籽、糖和棉花供需。,0
usd_cny,603091,众鑫股份,1,0.75,A,人民币贬值通常利好美元收入型出口企业，需扣除美元原料和套保。,1
usd_cny,603162,海通发展,1,0.55,B,人民币贬值通常利好美元收入型出口企业，需扣除美元原料和套保。,1
usd_cny,002048,宁波华翔,1,0.35,B,人民币贬值通常利好美元收入型出口企业，需扣除美元原料和套保。,1
usd_cny,000726,鲁泰A,1,0.65,A,人民币贬值通常利好美元收入型出口企业，需扣除美元原料和套保。,0
usd_cny,601339,百隆东方,1,0.55,B,人民币贬值通常利好美元收入型出口企业，需扣除美元原料和套保。,0
usd_cny,605090,九丰能源,-1,0.5,B,人民币贬值抬升进口能源或原料的人民币成本。,1
usd_cny,002221,东华能源,-1,0.65,B,人民币贬值抬升进口能源或原料的人民币成本。,0
usd_cny,600872,中炬高新,-1,0.2,B,人民币贬值抬升进口能源或原料的人民币成本。,1
eur_cny,002048,宁波华翔,1,0.55,B,欧元升值可能抬升欧洲收入折算，但当地成本与套保会弱化。,1
eur_cny,600741,华域汽车,1,0.35,B,欧元升值可能抬升欧洲收入折算，但当地成本与套保会弱化。,0
eur_cny,603997,继峰股份,1,0.45,B,欧元升值可能抬升欧洲收入折算，但当地成本与套保会弱化。,0
tsmc_revenue_yoy,300308,中际旭创,1,1.0,A,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
tsmc_revenue_yoy,300502,新易盛,1,1.0,A,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
tsmc_revenue_yoy,300476,胜宏科技,1,0.9,A,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
tsmc_revenue_yoy,002463,沪电股份,1,0.9,A,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
tsmc_revenue_yoy,601138,工业富联,1,0.8,A,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
tsmc_revenue_yoy,688008,澜起科技,1,0.75,B,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
tsmc_revenue_yoy,603986,兆易创新,1,0.65,B,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
tsmc_revenue_yoy,301308,江波龙,1,0.65,B,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
tsmc_revenue_yoy,688012,中微公司,1,0.55,B,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
tsmc_revenue_yoy,002371,北方华创,1,0.55,B,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
tsmc_revenue_yoy,002916,深南电路,1,0.75,B,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
tsmc_revenue_yoy,300693,盛弘股份,1,0.3,B,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
sia_sales_yoy,300308,中际旭创,1,1.0,A,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
sia_sales_yoy,300502,新易盛,1,1.0,A,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
sia_sales_yoy,300476,胜宏科技,1,0.9,A,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
sia_sales_yoy,002463,沪电股份,1,0.9,A,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
sia_sales_yoy,601138,工业富联,1,0.8,A,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
sia_sales_yoy,688008,澜起科技,1,0.75,B,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
sia_sales_yoy,603986,兆易创新,1,0.65,B,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
sia_sales_yoy,301308,江波龙,1,0.65,B,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
sia_sales_yoy,688012,中微公司,1,0.55,B,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
sia_sales_yoy,002371,北方华创,1,0.55,B,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
sia_sales_yoy,002916,深南电路,1,0.75,B,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
sia_sales_yoy,300693,盛弘股份,1,0.3,B,全球芯片/HPC需求先行指标，仍需结合具体产品结构。,0
sox,300308,中际旭创,1,0.6,C,费城半导体指数只作海外风险偏好与价格确认。,0
sox,300502,新易盛,1,0.6,C,费城半导体指数只作海外风险偏好与价格确认。,0
sox,300476,胜宏科技,1,0.54,C,费城半导体指数只作海外风险偏好与价格确认。,0
sox,002463,沪电股份,1,0.54,C,费城半导体指数只作海外风险偏好与价格确认。,0
sox,601138,工业富联,1,0.48,C,费城半导体指数只作海外风险偏好与价格确认。,0
sox,688008,澜起科技,1,0.44999999999999996,C,费城半导体指数只作海外风险偏好与价格确认。,0
sox,603986,兆易创新,1,0.39,C,费城半导体指数只作海外风险偏好与价格确认。,0
sox,301308,江波龙,1,0.39,C,费城半导体指数只作海外风险偏好与价格确认。,0
sox,688012,中微公司,1,0.33,C,费城半导体指数只作海外风险偏好与价格确认。,0
sox,002371,北方华创,1,0.33,C,费城半导体指数只作海外风险偏好与价格确认。,0
sox,002916,深南电路,1,0.44999999999999996,C,费城半导体指数只作海外风险偏好与价格确认。,0
sox,300693,盛弘股份,1,0.18,C,费城半导体指数只作海外风险偏好与价格确认。,0
sec_hyperscalers,300308,中际旭创,1,0.9,A,云厂商10-Q/10-K是AI资本开支和服务器需求的上游验证。,0
sec_hyperscalers,300502,新易盛,1,0.9,A,云厂商10-Q/10-K是AI资本开支和服务器需求的上游验证。,0
sec_hyperscalers,300476,胜宏科技,1,0.8,A,云厂商10-Q/10-K是AI资本开支和服务器需求的上游验证。,0
sec_hyperscalers,002463,沪电股份,1,0.8,A,云厂商10-Q/10-K是AI资本开支和服务器需求的上游验证。,0
sec_hyperscalers,601138,工业富联,1,0.85,A,云厂商10-Q/10-K是AI资本开支和服务器需求的上游验证。,0
sec_hyperscalers,002916,深南电路,1,0.65,B,云厂商10-Q/10-K是AI资本开支和服务器需求的上游验证。,0
sec_hyperscalers,300693,盛弘股份,1,0.35,B,云厂商10-Q/10-K是AI资本开支和服务器需求的上游验证。,0
acea_bev_share,002048,宁波华翔,1,0.75,A,欧洲汽车及纯电注册变化影响海外配套需求。,1
acea_bev_share,600741,华域汽车,1,0.45,B,欧洲汽车及纯电注册变化影响海外配套需求。,0
acea_bev_share,603997,继峰股份,1,0.65,A,欧洲汽车及纯电注册变化影响海外配套需求。,0
acea_bev_share,600699,均胜电子,1,0.65,A,欧洲汽车及纯电注册变化影响海外配套需求。,0
acea_bev_share,601689,拓普集团,1,0.45,B,欧洲汽车及纯电注册变化影响海外配套需求。,0
acea_bev_share,600660,福耀玻璃,1,0.45,B,欧洲汽车及纯电注册变化影响海外配套需求。,0
acea_bev_share,601002,晋亿实业,1,0.25,C,海外汽车景气对汽车紧固件需求有间接影响。,1
ctg_rongchang,688331,荣昌生物,1,1.0,A,ClinicalTrials.gov状态、入组、完成日期和结果发布改变管线成功概率。,1
sec_abbvie,688331,荣昌生物,1,0.9,A,艾伯维披露可能包含合作、里程碑或战略调整。,1
fr_hfc,605020,永和股份,1,1.0,A,美国HFC配额与淘汰政策影响全球供给约束和制冷剂价格预期。,1
fr_hfc,600160,巨化股份,1,0.9,A,美国HFC配额与淘汰政策影响全球供给约束和制冷剂价格预期。,0
fr_hfc,603379,三美股份,1,0.85,A,美国HFC配额与淘汰政策影响全球供给约束和制冷剂价格预期。,0
fr_packaging,603091,众鑫股份,0,1.0,A,塑料限制利好替代，但反倾销/关税利空出口，按文本判定。,1
fr_packaging,002831,裕同科技,0,0.35,C,塑料限制利好替代，但反倾销/关税利空出口，按文本判定。,0
fr_battery,002805,丰元股份,0,0.75,B,补贴/本地化规则与关税限制方向相反，按事件文本判定。,1
fr_battery,300750,宁德时代,0,0.65,B,补贴/本地化规则与关税限制方向相反，按事件文本判定。,0
fr_battery,002074,国轩高科,0,0.6,B,补贴/本地化规则与关税限制方向相反，按事件文本判定。,0
fr_battery,300014,亿纬锂能,0,0.55,B,补贴/本地化规则与关税限制方向相反，按事件文本判定。,0
fr_battery,002709,天赐材料,0,0.5,B,补贴/本地化规则与关税限制方向相反，按事件文本判定。,0
fr_grid,002606,大连电瓷,1,0.6,B,海外输电投资提高全球设备需求与行业估值，出口占比决定强弱。,1
fr_grid,600312,平高电气,1,0.5,B,海外输电投资提高全球设备需求与行业估值，出口占比决定强弱。,0
fr_grid,600089,特变电工,1,0.4,B,海外输电投资提高全球设备需求与行业估值，出口占比决定强弱。,0
fr_grid,601179,中国西电,1,0.5,B,海外输电投资提高全球设备需求与行业估值，出口占比决定强弱。,0
us10y,600663,陆家嘴,-1,0.25,C,海外长端利率通过全球估值和汇率间接影响。,1
us10y,601318,中国平安,-1,0.2,C,海外长端利率通过全球估值和汇率间接影响。,0
us10y,603605,珀莱雅,-1,0.1,C,海外长端利率通过全球估值和汇率间接影响。,1
